Division One,,,,,,,,,,
,,,,,,,,,,
1,1-16,2-15,3-14,4-13,5-12,6-11,7-10,8-9,05/09/19,09/01/20
2,15-1,14-2,13-3,12-4,11-5,10-6,9-7,16-8,12/09/19,16/01/20
3,1-14,2-13,3-12,4-11,5-10,6-9,7-8,15-16,19/09/19,23/01/20
4,13-1,12-2,11-3,10-4,9-5,8-6,16-7,14-15,26/09/19,06/02/20
5,1-12,2-11,3-10,4-9,5-8,6-7,15-13,14-16,03/10/19,13/02/20
6,11-1,10-2,9-3,8-4,7-5,16-6,12-15,13-14,10/10/19,20/02/20
7,1-10,2-9,3-8,4-7,5-6,15-11,14-12,13-16,17/10/19,05/03/20
8,9-1,8-2,7-3,6-4,16-5,10-15,11-14,12-13,24/10/19,12/03/20
9,1-8,2-7,3-6,4-5,15-9,14-10,13-11,12-16,31/10/19,19/03/20
10,7-1,6-2,5-3,16-4,8-15,9-14,10-13,11-12,07/11/19,02/04/20
11,1-6,2-5,3-4,15-7,14-8,13-9,12-10,11-16,14/11/19,09/04/20
12,5-1,4-2,16-3,6-15,7-14,8-13,9-12,10-11,21/11/19,16/04/20
13,1-4,2-3,15-5,14-6,13-7,12-8,11-9,10-16,28/11/19,23/04/20
14,3-1,16-2,4-15,5-14,6-13,7-12,8-11,9-10,05/12/19,30/04/20
15,1-2,15-3,14-4,13-5,12-6,11-7,10-8,9-16,12/12/19,07/05/20
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1 Waterloo Pub A,,,,,,9 Regent C,,,,
2 Regent D,,,,,,10 Waterloo Social Club B,,,,
3 Waterloo Social Club A,,,,,,11 The Eagle,,,,
4 Sevices A,,,,,,12 Newsham Hotel,,,,
5 Willow Tree A,,,,,,13 Breakers B,,,,
6 Prince Of Wales,,,,,,14 Cramlington Village B,,,,
7 Percy Arms,,,,,,15 Shankhouse Club B,,,,
8 Isabella B,,,,,,16 Waterloo Pub B,,,,
